fichier,species,t_start,t_end,duration,mean_confidence
sequence_06.wav,Baleine à bosse,19.0,22.0,3.0,0.693
sequence_06.wav,Baleine à bosse,24.0,36.0,12.0,0.77
sequence_06.wav,Béluga,61.0,64.0,3.0,0.687
sequence_06.wav,Baleine à bosse,77.0,83.0,6.0,0.829
sequence_06.wav,Baleine à bosse,175.0,186.0,11.0,0.808
sequence_06.wav,Baleine à bosse,220.0,224.0,4.0,0.643
sequence_06.wav,Baleine à bosse,242.0,244.0,2.0,0.754
sequence_07.wav,Baleine à bosse,14.0,17.0,3.0,0.551
sequence_07.wav,Baleine à bosse,23.0,28.0,5.0,0.692
sequence_07.wav,Baleine à bosse,56.0,61.0,5.0,0.73
sequence_07.wav,Baleine à bosse,66.0,69.0,3.0,0.608
sequence_07.wav,Béluga,116.0,120.0,4.0,0.684
sequence_07.wav,Baleine à bosse,118.0,121.0,3.0,0.563
sequence_07.wav,Baleine à bosse,130.0,135.0,5.0,0.764
sequence_07.wav,Baleine à bosse,141.0,146.0,5.0,0.822
sequence_07.wav,Baleine à bosse,184.0,187.0,3.0,0.587
sequence_07.wav,Baleine à bosse,197.0,199.0,2.0,0.753
sequence_10.wav,Baleine à bosse,9.0,12.0,3.0,0.693
sequence_10.wav,Baleine à bosse,15.0,18.0,3.0,0.677
sequence_10.wav,Baleine à bosse,31.0,37.0,6.0,0.759
sequence_10.wav,Baleine à bosse,53.0,58.0,5.0,0.75
sequence_10.wav,Baleine à bosse,74.0,80.0,6.0,0.847
sequence_10.wav,Baleine à bosse,98.0,111.0,13.0,0.69
sequence_10.wav,Baleine à bosse,121.0,127.0,6.0,0.728
sequence_10.wav,Baleine à bosse,134.0,143.0,9.0,0.73
sequence_11.wav,Baleine à bosse,27.0,30.0,3.0,0.659
sequence_11.wav,Béluga,28.0,31.0,3.0,0.6
sequence_11.wav,Baleine à bosse,30.0,33.0,3.0,0.59
sequence_11.wav,Baleine à bosse,49.0,53.0,4.0,0.771
sequence_11.wav,Baleine à bosse,69.0,72.0,3.0,0.609
sequence_11.wav,Baleine à bosse,75.0,78.0,3.0,0.584
sequence_11.wav,Baleine à bosse,93.0,97.0,4.0,0.649
