fichier,species,t_start,t_end,duration,mean_confidence
sequence_26.wav,Baleine à bosse,7.0,10.0,3.0,0.733
sequence_26.wav,Baleine à bosse,12.0,15.0,3.0,0.73
sequence_26.wav,Baleine à bosse,26.0,36.0,10.0,0.766
sequence_26.wav,Baleine à bosse,40.0,43.0,3.0,0.595
sequence_26.wav,Baleine à bosse,45.0,49.0,4.0,0.645
sequence_26.wav,Baleine à bosse,80.0,85.0,5.0,0.836
sequence_26.wav,Baleine à bosse,98.0,101.0,3.0,0.568
sequence_26.wav,Baleine à bosse,103.0,111.0,8.0,0.749
sequence_26.wav,Béluga,128.0,133.0,5.0,0.64
sequence_26.wav,Baleine à bosse,136.0,142.0,6.0,0.796
sequence_26.wav,Baleine à bosse,148.0,154.0,6.0,0.746
sequence_26.wav,Baleine à bosse,165.0,167.0,2.0,0.767
