animal,start_sec,end_sec,duration_sec
Fin_FinbackWhale,14.745,16.162,1.417
Fin_FinbackWhale,25.944,27.064,1.12
White_sidedDolphin,43.612,44.882,1.27
White_sidedDolphin,76.981,78.784,1.804
White_sidedDolphin,115.9,117.808,1.909
Fin_FinbackWhale,172.544,173.961,1.417
Fin_FinbackWhale,191.919,192.98,1.061
SpermWhale,217.444,218.843,1.399
White_sidedDolphin,230.077,232.428,2.351
White_sidedDolphin,247.487,249.094,1.607
HumpbackWhale,264.376,265.407,1.031
SpermWhale,271.536,274.325,2.789
